"","Species","Mass_g","Binomial","GBIF_ID"
"887","Crossarchus platycephalus",790,"Crossarchus_platycephalus","5219138"
"888","Crossomys moncktoni",168.42,"Crossomys_moncktoni","2438683"
"889","Crunomys fallax",35.72,"Crunomys_fallax","2438562"
"890","Crunomys melanius",30.58,"Crunomys_melanius","2438560"
"891","Cryptochloris wintoni",22.88,"Cryptochloris_wintoni","5218453"
"892","Cryptochloris zyli",21.095,"Cryptochloris_zyli","5218454"
"893","Cryptomys amatus",77.95,"Cryptomys_amatus","4263045"
"894","Cryptomys anselli",87.795,"Cryptomys_anselli","4263049"
"895","Cryptomys bocagei",79.5,"Cryptomys_bocagei","2437216"
"896","Cryptomys damarensis",134.65,"Cryptomys_damarensis","2437214"
"897","Cryptomys darlingi",77.95,"Cryptomys_darlingi","4263050"
"898","Cryptomys hottentotus",78.9,"Cryptomys_hottentotus","2437213"
"899","Cryptomys mechowi",270.52,"Cryptomys_mechowi","2437217"
"900","Cryptomys ochraceocinereus",200,"Cryptomys_ochraceocinereus","2437215"
"901","Cryptoprocta ferox",9500,"Cryptoprocta_ferox","2433516"
"902","Cryptotis alticola",6.865,"Cryptotis_alticola","5219500"
"903","Cryptotis equatoris",11.77,"Cryptotis_equatoris","5219501"
"904","Cryptotis goldmani",6.865,"Cryptotis_goldmani","5219488"
"905","Cryptotis goodwini",16.5,"Cryptotis_goodwini","5219479"
"906","Cryptotis lacertosus",15,"Cryptotis_lacertosus","8840117"
"907","Cryptotis magna",7,"Cryptotis_magna","5219481"
"908","Cryptotis mam",9,"Cryptotis_mam","9081746"
"909","Cryptotis mayensis",8.32,"Cryptotis_mayensis","5219502"
"910","Cryptotis medellinia",11.77,"Cryptotis_medellinia","5219487"
"911","Cryptotis mera",8.32,"Cryptotis_mera","5219504"
"912","Cryptotis meridensis",12.2,"Cryptotis_meridensis","5219507"
"913","Cryptotis merriami",8.32,"Cryptotis_merriami","5219491"
"914","Cryptotis mexicana",7,"Cryptotis_mexicana","5219495"
