Order,Family,Genus_species,English_Name,Name_Tree,Super order,Status ,n,n_Small Intestine,Body mass_Small intestine,Small Intestine_Length,n_Large Intestine,Body mass_Large Intestine,Large Intestine_Length,n_Caecum,Body mass_Ceaecum,Caecum_Length,n_Colon,Body mass_Colon,Colon_Length,n_Total Intestine,Body mass_Total Intestine,Total Intestine_Length,Source,Inv,Vend,Vect,Vfish,Vunk,Faunivory,Scav,Total_Faunivory,Fruit,Nect,Seed,Fruit/Nect/Seed,PlantO,Total_Plant,Source,Certainty,Type_I,Type_II,Latitude,Abs_Lat,Mean_Precip,Mean_Temp,Mean_AET,Mean_PET,Volant,Marine,Foregut
Cetartiodactyla,Bovidae,Antilope_cervicapra,Blackbuck,Antilope_cervicapra_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,15,15,28.350,1143.50,15,28.350,502.00,15,28.350,19.25,15,31.500,482.75,15,28.350,1645.50,"Sauer et al. (2016a), Gill and Korda (1960)",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,18.75,18.75,76.83,25.66,688.1,1447,0,0,1
Carnivora,Mustelidae,Aonyx_cinereus,Asian small-clawed otter,Aonyx_cinerea_MUSTELIDAE_CARNIVORA,Laurasiatheria,captive,4,,,,,,,4,2.675,,,,,4,2.675,144.09,McGrosky et al. (2016),80,0,10,10,0,100,0,100,0,0,0,0,0,0,Ref_110,ABC,Car,Car,11.3,11.3,173.12,22.66,1249.58,1519.08,0,1,0
Rodentia,Muridae,Apodemus_agrarius,Striped field mouse,Apodemus_agrarius_MURIDAE_RODENTIA,Euarchontoglires,wild,50,50,0.024,30.96,50,0.024,8.99,50,0.024,3.02,50,0.024,5.97,50,0.024,39.95,Borkowska (1995),20,0,0,0,0,20,0,20,20,0,20,40,40,80,Ref_1,ABC,Herb,Omni,41.83,41.83,51.66,4.85,510.09,598.47,0,0,1
Rodentia,Muridae,Apodemus_flavicollis,Yellow-necked field mouse,Apodemus_flavicollis_MURIDAE_RODENTIA,Euarchontoglires,wild,4,4,0.025,46.09,4,0.025,22.43,4,0.025,4.93,4,0.025,17.50,4,0.025,68.52,This study,20,0,0,0,0,20,0,20,20,0,20,40,40,80,Ref_1,ABC,Herb,Omni,51.12,51.12,54.15,6.15,436.47,506.65,0,0,1
Rodentia,Muridae,Apodemus_sylvaticus,Long-tailed field mouse,Apodemus_sylvaticus_MURIDAE_RODENTIA,Euarchontoglires,wild,22,22,0.017,34.04,22,0.017,10.80,22,0.017,3.82,22,0.017,6.98,22,0.017,48.42,"Corp et al. (1997), This study",20,0,0,0,0,20,0,20,20,0,20,40,40,80,Ref_1,ABC,Herb,Omni,47.53,47.53,57.22,9.08,476.85,650.57,0,0,1
Carnivora,Viverridae,Arctictis_binturong,Binturong,Arctictis_binturong_VIVERRIDAE_CARNIVORA,Laurasiatheria,captive,2,2,10.350,225.44,2,10.35,42.32,,,,,,42.32,2,10.35,267.75,McGrosky et al. (2016),0,10,0,30,0,40,10,50,30,0,0,30,20,50,Ref_1,ABC,Omni,Omni,9.84,9.84,194.92,22.99,1362.12,1587.23,0,0,0
Carnivora,Otariidae,Arctocephalus_forsteri,New zealand fur seal,Arctocephalus_forsteri_OTARIIDAE_CARNIVORA,Laurasiatheria,wild,6,6,39.330,1266.67,6,39.330,88.33,6,39.330,3.42,6,39.330,84.92,6,39.330,1355.00,Richardson and Gales (1987),70,10,0,20,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,,,,,,,0,1,0
Chiroptera,Phyllostomidae,Artibeus_fimbriatus,Fringed fruit-eating bat,Artibeus_fimbriatus_PHYLLOSTOMIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.064,34.68,Cruz-Neto & Jones 2006 in Caviedes-Vidal et al 2007,10,0,0,0,0,10,0,10,80,10,0,90,0,90,Ref_1,ABC,Herb,Herb,-23.48,23.48,125.63,20.89,1233.51,1315.75,1,0,0
Chiroptera,Phyllostomidae,Artibeus_jamaicensis,Jamaican fruit.eating bat,Artibeus_jamaicensis_PHYLLOSTOMIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.039,31.30,Jones & MacLarnon 2004 in Caviedes-Vidal et al 2007,10,0,0,0,0,10,0,10,80,10,0,90,0,90,Ref_1,ABC,Herb,Herb,0.29,0.29,147.19,23.75,1278.5,1531.97,1,0,0
Chiroptera,Phyllostomidae,Artibeus_lituratus,Great fruit-eating bat,Artibeus_lituratus_PHYLLOSTOMIDAE_CHIROPTERA,Laurasiatheria,unknown,19,,,,,,,,,,,,,19,0.073,40.71,"Caviedes-Vidal et al. (2008) , Otani (2006)",10,0,0,0,0,10,0,10,80,10,0,90,0,90,Ref_1,ABC,Herb,Herb,-3.73,3.73,148.64,23.59,1281.41,1521.14,1,0,0
