Order,Family,Genus_species,English_Name,Name_Tree,Super order,Status ,n,n_Small Intestine,Body mass_Small intestine,Small Intestine_Length,n_Large Intestine,Body mass_Large Intestine,Large Intestine_Length,n_Caecum,Body mass_Ceaecum,Caecum_Length,n_Colon,Body mass_Colon,Colon_Length,n_Total Intestine,Body mass_Total Intestine,Total Intestine_Length,Source,Inv,Vend,Vect,Vfish,Vunk,Faunivory,Scav,Total_Faunivory,Fruit,Nect,Seed,Fruit/Nect/Seed,PlantO,Total_Plant,Source,Certainty,Type_I,Type_II,Latitude,Abs_Lat,Mean_Precip,Mean_Temp,Mean_AET,Mean_PET,Volant,Marine,Foregut
Rodentia,Dasyproctidae,Dasyprocta_punctata,Central american agouti,Dasyprocta_punctata_DASYPROCTIDAE_RODENTIA,Euarchontoglires,captive,1,1,3.400,521.87,1,3.400,131.39,1,3.400,19.42,1,3.400,111.97,1,3.400,653.26,This study,10,0,0,0,0,10,0,10,40,0,0,40,50,90,Ref_1,ABC,Herb,Herb,-1.57,1.57,142.57,23.17,1275.93,1538.57,0,0,0
Primates,Daubentoniidae,Daubentonia_madagascariensis,Aye-aye,Daubentonia_madagascariensis_DAUBENTONIIDAE_PRIMATES,Euarchontoglires,captive,1,1,1.760,144.50,1,1.760,75.00,1,1.760,9.00,1,1.760,66.00,1,1.760,219.50,Campbell (2004),40,0,0,0,0,40,0,40,0,20,40,60,0,60,Ref_1,ABC,Omni,Omni,-18.79,18.79,149.13,21.70,1216.27,1601.27,0,0,0
Rodentia,Cricetidae,Delomys_sublineatus,Pallid delomys,Delomys_sublineatus_CRICETIDAE_RODENTIA,Euarchontoglires,wild,3,3,0.072,36.50,,,,,,,,,,,,,Brun et al. (2019),20,0,0,0,0,20,0,20,10,0,40,50,30,80,Ref_3,D2,Herb,Omni,-22.52,22.52,119.42,20.04,1182.89,1360.55,0,0,1
Hyracoidea,Procaviidae,Dendrohyrax_arboreus,Southern tree hyrax,Dendrohyrax_arboreus_PROCAVIIDAE_HYRACOIDEA,Afrotheria,captive,2,2,1.650,203.25,2,1.65,131.75,2,1.65,8.25,2,1.65,123.50,2,1.65,335.00,Rahm (1980),0,0,0,0,0,0,0,0,30,0,0,30,70,100,Ref_1,ABC,Herb,Herb,-16.09,16.09,84.78,21.47,926.84,1497.2,0,0,1
Hyracoidea,Procaviidae,Dendrohyrax_dorsalis,Western tree hyrax,Dendrohyrax_dorsalis_PROCAVIIDAE_HYRACOIDEA,Afrotheria,captive,2,2,1.940,135.00,2,1.94,101.85,2,1.94,7.15,2,1.94,94.70,2,1.94,236.85,Rahm (1980),0,0,0,0,0,0,0,0,30,0,0,30,70,100,Ref_1,ABC,Herb,Herb,3.97,3.97,151.82,24.51,1341.99,1565.05,0,0,1
Rodentia,Nesomyidae,Dendromus_melanotis,Gray african climbing mouse,Dendromus_melanotis_NESOMYIDAE_RODENTIA,Euarchontoglires,wild,2,,,,,,,,,,,,,2,0.006,17.05,Korn (1992),20,10,20,0,10,60,0,60,20,0,20,40,0,40,Ref_1,ABC,Omni,Omni,-11.44,11.44,96.4,22.50,994.37,1484.01,0,0,1
Rodentia,Muridae,Desmodillus_auricularis,Cape short-eared gerbil,Desmodillus_auricularis_MURIDAE_RODENTIA,Euarchontoglires,wild,1,1,0.086,37.51,1,0.086,15.98,1,0.086,4.21,1,0.086,11.77,1,0.086,53.49,Perrin and Curtis (1980),30,0,0,0,0,30,0,30,0,0,70,70,0,70,Ref_1,ABC,Herb,Omni,-24.93,24.93,26,18.35,390.54,1270.71,0,0,1
Chiroptera,Phyllostomidae,Desmodus_rotundus,Common vampire bat,Desmodus_rotundus_PHYLLOSTOMIDAE_CHIROPTERA,Laurasiatheria,wild,4,,,,,,,,,,,,,4,0.036,20.54,"Brun et al. (2019), Cruz-Neto and Jones (2006)",0,100,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-3.4,3.4,130.09,21.63,1157.17,1460.68,1,0,0
Perissodactyla,Rhinocerotidae,Diceros_bicornis,Black rhino,Diceros_bicornis_RHINOCEROTIDAE_PERISSODACTYLA,Laurasiatheria,captive,2,2,976.000,1422.50,2,976.00,632.50,2,976.00,97.50,2,976.00,535.00,2,976.00,2055.00,This study,0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,0.67,0.67,238.66,24.89,1703.18,1778.81,0,0,0
Rodentia,Cricetidae,Dicrostonyx_groenlandicus,Neartic collared lemming,Dicrostonyx_groenlandicus_CRICETIDAE_RODENTIA,Euarchontoglires,captive,22,,,,,,,,,,,,,22,0.047,102.90,Hammond and Wunder (1995),0,0,0,0,0,0,0,0,20,0,0,20,80,100,Ref_1,ABC,Herb,Herb,68.22,68.22,19.89,-13.07,137.34,149.4,0,0,1
Didelphimorphia,Didelphidae,Didelphis_albiventris,White-eared opossum,Didelphis_albiventris_DIDELPHIDAE_DIDELPHIMORPHIA,Ameridelphia,unknown,8,8,1.151,96.49,8,1.151,28.80,8,1.151,6.79,8,1.151,22.01,8,1.151,125.29,"Caceres (2005), Santori et al. (2004)",20,0,0,0,30,50,30,80,0,0,0,0,20,20,Ref_1,ABC,Car,Omni,-15.9,15.9,97.1,18.70,964.09,1284.45,0,0,0
Didelphimorphia,Didelphidae,Didelphis_aurita,Brazilian common opossum,Didelphis_aurita_DIDELPHIDAE_DIDELPHIMORPHIA,Ameridelphia,unknown,29,29,1.111,98.94,29,1.111,24.99,29,1.111,7.03,29,1.111,17.96,29,1.111,123.93,"Caceres (2005), Santori et al. (2004)",20,0,0,0,30,50,30,80,0,0,0,0,20,20,Ref_1,ABC,Car,Omni,-17.68,17.68,126.98,20.76,1212.17,1376.83,0,0,0
Didelphimorphia,Didelphidae,Didelphis_marsupialis,Common opossum,Didelphis_marsupialis_DIDELPHIDAE_DIDELPHIMORPHIA,Ameridelphia,wild,12,12.000,1.50,94.33,12,1.50,24.06,12,1.50,5,12,1.50,18.62,12,1.50,118.39,Tardieu et al. (2019),20,0,0,0,30,50,30,80,0,0,0,0,20,20,Ref_1,ABC,Car,Omni,2.79,2.79,175.63,24.83,1421.55,1599.94,0,0,0
Didelphimorphia,Didelphidae,Didelphis_virginiana,Virginia opossum,Didelphis_virginiana_DIDELPHIDAE_DIDELPHIMORPHIA,Ameridelphia,wild,6,6,2.700,141.83,6,2.70,47.56,6,2.70,10.07,6,2.70,37.49,6,2.70,189.38,This study,20,0,0,0,30,50,30,80,0,0,0,0,20,20,Ref_1,ABC,Car,Omni,27.61,27.61,83.01,16.49,846.78,1131.84,0,0,0
Rodentia,Dinomyidae,Dinomys_branickii,Pacarana,Dinomys_branickii_DINOMYIDAE_RODENTIA,Euarchontoglires,captive,2,2,10.080,355.11,2,10.080,147.19,2,10.080,13.23,2,10.080,133.96,2,10.080,502.29,This study,0.00,0,0,0,0,0.00,0,0,40,0,0.0,40,60,100,Ref_1,ABC,Herb,Herb,-3.97,3.97,191.79,24.75,1445.90,1528.23,0,0,0
Chiroptera,Phyllostomidae,Diphylla_ecaudata,Hairy-legged vampire bat,Diphylla_ecaudata_PHYLLOSTOMIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.028,20.50,Cruz-Neto & Jones 2006 in Caviedes-Vidal et al 2007,0,100,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,2.82,2.82,141.74,23.76,1227.21,1500.76,1,0,0
Rodentia,Heteromyidae,Dipodomys_agilis,Agile kangaroo rat,Dipodomys_agilis_HETEROMYIDAE_RODENTIA,Euarchontoglires,unknown,1,1,0.035,33.00,,,,,,,,,,,,,Lavin et al. 2008,20,0,0,0,0,20,0,20,20,0,30,50,30,80,Ref_1,ABC,Herb,Omni,34.64,34.64,32.27,12.21,304.91,1175,0,0,0
Rodentia,Caviidae,Dolichotis_patagonum,Patagonian mara,Dolichotis_patagonum_CAVIIDAE_RODENTIA,Euarchontoglires,captive,2,2,7.965,279.43,2,7.965,372.19,2,7.965,37.21,2,7.965,334.98,2,7.965,651.62,This study,0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-36.67,36.67,26.12,12.36,350.51,810.75,0,0,0
Cetartiodactyla,Bovidae,Dorcatragus_megalotis,Beira,Dorcatragus_megalotis_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,13,13,8.750,600.00,13,8.750,630.00,13,8.750,14.50,13,8.750,616.00,13,8.750,1230.00,Sauer et al. (2016c),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,10.21,10.21,14.58,24.35,197.41,1769.61,0,0,1
Sirenia,Dugongidae,Dugong_dugon,Dugong,Dugong_dugon_DUGONGIDAE_SIRENIA,Afrotheria,captive,6,6,99.460,699.00,6,99.460,1136.00,,,,,,,6,99.460,1835.00,Kamiya et al. (1979),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_3,D2,Herb,Herb,,,,,,,0,1,1
Afrosoricida,Tenrecidae,Echinops_telfairi,Lesser hedgehog tenrec,Echinops_telfairi_TENRECIDAE_AFROSORICIDA,Afrotheria,captive,3,,,,,,,,,,,,,3,0.143,39.96,This study,60,0,0,0,0,60,0,60,40,0,0,40,0,40,Ref_40,ABC,Omni,Omni,-22.58,22.58,57.94,23.65,801.62,1666.89,0,0,0
Chiroptera,Pteropodidae,Eidolon_helvum,African straw-coloured fruit-bat,Eidolon_helvum_PTEROPODIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.267,170.00,Jones & MacLarnon 2004 in Caviedes-Vidal et al 2007,0,0,0,0,0,0,0,0,100,0,0,100,0,100,Ref_1,ABC,Herb,Herb,-8.17,8.17,84.6,23.38,864.91,1524.57,1,0,0
Cetartiodactyla,Cervidae,Elaphodus_cephalophus,Tufted deer,Elaphodus_cephalophus_CERVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,17.500,666.70,1,17.500,435.90,1,17.500,41.30,1,17.500,394.60,1,17.500,1102.60,This study,0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,27.88,27.88,122.62,11.70,947.47,1051.06,0,0,1
Cetartiodactyla,Cervidae,Elaphurus_davidianus,Pere davids deer,Elaphurus_davidianus_CERVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,119.500,1307.00,1,119.500,626.00,1,119.500,37.00,1,119.500,589.00,1,119.500,1933.00,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,,,,,,,0,0,1
Macroscelidea,Macroscelididae,Elephantulus_brachyrhynchus,Short-snouted sengi,Elephantulus_brachyrhynchus_MACROSCELIDIDAE_MACROSCELIDEA,Afrotheria,wild,9,,,,,,,,,,,,,9,0.045,71.76,Korn (1992),100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-12.52,12.52,82.78,21.73,874.15,1458.51,0,0,0
Macroscelidea,Macroscelididae,Elephantulus_edwardii,Cape rock sengi,Elephantulus_edwardii_MACROSCELIDIDAE_MACROSCELIDEA,Afrotheria,wild,16,16,0.046,33.79,16,0.05,10.93,16,0.05,4.69,16,0.05,6.24,16,0.05,45.75,"Woodall (1987), Woodall and Currie (1989)",100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-31.59,31.59,22.65,16.12,374.09,1043,0,0,0
Macroscelidea,Macroscelididae,Elephantulus_intufi,Bushveld sengi,Elephantulus_intufi_MACROSCELIDIDAE_MACROSCELIDEA,Afrotheria,wild,9,9,0.049,43.00,9,0.049,9.02,9,0.049,5.61,9,0.049,3.41,9,0.049,52.02,Woodall (1987),100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-19.94,19.94,30.69,19.43,440.49,1354.79,0,0,0
Macroscelidea,Macroscelididae,Elephantulus_myurus,Eastern elephant-shrew,Elephantulus_myurus_MACROSCELIDIDAE_MACROSCELIDEA,Afrotheria,wild,51,51,0.059,36.65,51,0.059,10.83,51,0.059,5.00,51,0.059,5.84,51,0.059,47.49,"Woodall (1987), Woodall and Mackie (1987)",100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-23.07,23.07,56.42,19.18,733.21,1319.33,0,0,0
Macroscelidea,Macroscelididae,Elephantulus_rupestris,Western rock sengi,Elephantulus_rupestris_MACROSCELIDIDAE_MACROSCELIDEA,Afrotheria,wild,2,2,0.065,44.03,2,0.065,10.78,2,0.065,5.09,2,0.065,5.69,2,0.065,54.81,Woodall (1987),100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-25.59,25.59,17.96,17.02,301.9,1164.66,0,0,0
Proboscidea,Elephantidae,Elephas_maximus,Asian elephant,Elephas_maximus_ELEPHANTIDAE_PROBOSCIDEA,Afrotheria,captive,5,5,3470.378,2186.67,3,3744.300,1266.00,3,3744.300,107.00,3,3744.300,1159.00,5,3470.378,2995.25,"Clauss et al. (2006b), Shoshani et al. (1982), This study",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,12.3,12.3,172.63,22.56,1248.96,1539.32,0,0,0
Chiroptera,Emballonuridae,Emballonura_semicaudata,Pacific sheat-tailed bat,Emballonura_semicaudata_EMBALLONURIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.007,9.00,Jones & MacLarnon 2004 in Caviedes-Vidal et al 2007,90,0,0,0,0,90,0,90,10,0,0,10,0,10,Ref_1,ABC,Car,Car,-2.86,2.86,,,,,1,0,0
Carnivora,Mustelidae,Enhydra_lutris,Sea otter,Enhydra_lutris_MUSTELIDAE_CARNIVORA,Laurasiatheria,wild,4,4,23.940,1163.25,4,23.940,60.00,,,,4,23.940,60.00,4,23.940,1223.25,Kenyon (1969),50,0,0,50,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,,,,,,,0,1,0
Chiroptera,Pteropodidae,Eonycteris_spelaea,Dawn bat,Eonycteris_spelaea_PTEROPODIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.052,35.00,Cruz-Neto & Jones 2006 in Caviedes-Vidal et al 2007,0,0,0,0,0,0,0,0,0,100,0,100,0,100,Ref_1,ABC,Herb,Herb,10.04,10.04,184.62,22.57,1270.52,1539.33,1,0,0
Chiroptera,Pteropodidae,Epomophorus_wahlbergi,Wahlbergs epauletted fruit bat,Epomophorus_wahlbergi_PTEROPODIDAE_CHIROPTERA,Laurasiatheria,various,16,16,0.081,72.08,16,0.081,5.95,,,,16,0.081,3.49,16,0.081,82.56,"Makanya (1995), Makanya et al. (1997), Makanya et al. (2001)",0,0,0,0,0,0,0,0,100,0,0,100,0,100,Ref_1,ABC,Herb,Herb,-14.48,14.48,89.53,22.40,922.58,1483.6,1,0,0
Chiroptera,Pteropodidae,Epomops_franqueti,Franquets epauletted fruit bat,Epomops_franqueti_PTEROPODIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.018,80.00,Jones & MacLarnon 2004 in Caviedes-Vidal et al 2007,0,0,0,0,0,0,0,0,100,0,0,100,0,100,Ref_1,ABC,Herb,Herb,-1.48,1.48,137.29,24.27,1312.49,1561.31,1,0,0
Chiroptera,Vespertilionidae,Eptesicus_fuscus,Big brown bat,Eptesicus_fuscus_VESPERTILIONIDAE_CHIROPTERA,Laurasiatheria,wild,12,,,,,,,,,,,,,12,0.017,12.68,"Price et al. (2016), Schieck and Millar (1985)",100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,31.15,31.15,63.98,11.51,649.12,941.91,1,0,0
Chiroptera,Vespertilionidae,Eptesicus_nilssonii,Northern bat,Eptesicus_nilssonii_VESPERTILIONIDAE_CHIROPTERA,Laurasiatheria,wild,1,,,,,,,,,,,,,1,0.010,9.50,Stutz (1987),100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,53.78,53.78,40.55,0.27,366.6,422.84,1,0,0
Chiroptera,Vespertilionidae,Eptesicus_serotinus,Serotine,Eptesicus_serotinus_VESPERTILIONIDAE_CHIROPTERA,Laurasiatheria,various,5,,,,,,,,,,,,,5,0.022,13.50,"Kovtun and Zhukova (1994), Stutz (1987)",100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,37.94,37.94,59.65,9.94,557.37,844.59,1,0,0
Perissodactyla,Equidae,Equus_africanus,Donkey,Equus_africanus_EQUIDAE_PERISSODACTYLA,Laurasiatheria,captive,12,12,90.150,637.57,12,90.150,415.56,12,90.150,73.24,12,90.150,365.03,12,90.150,1053.13,"Jerbi et al. (2014), This study",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,,,,,,,0,0,0
Perissodactyla,Equidae,Equus_ferus,Przewalski horse,Equus_ferus_EQUIDAE_PERISSODACTYLA,Laurasiatheria,captive,4,4,453.000,3466.67,4,453.000,987.20,4,453.000,137.75,4,453.000,696.75,4,453.000,3444.25,"Clauss et al. (2007), Snipes and Snipes (1997)",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,,,,,,,0,0,0
Perissodactyla,Equidae,Equus_quagga,Plains zebra,Equus_quagga_EQUIDAE_PERISSODACTYLA,Laurasiatheria,captive,1,1,264.000,1448.00,1,264.000,669.00,1,264.000,106.00,1,264.000,563.00,1,264.000,2117.00,Clauss et al. (2007),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,,,,,,,0,0,0
Rodentia,Erethizontidae,Erethizon_dorsatum,North american porcupine,Erethizon_dorsatum_ERETHIZONTIDAE_RODENTIA,Euarchontoglires,wild ,4,4,5.150,312.00,4,5.150,433.00,4,5.150,27.00,4,5.150,406.00,4,5.150,745.00,Vispo and Hume (1994),0,0,0,0,0,0,0,0,10,0,20,30,70,100,Ref_1,ABC,Herb,Herb,49.77,49.77,44.71,0.90,363.45,536.43,0,0,0
Carnivora,Phocidae,Erignathus_barbatus,Bearded seal,Erignathus_barbatus_PHOCIDAE_CARNIVORA,Laurasiatheria,wild,5,5,248.500,2160.00,5,248.500,303.00,,,,,,,5,248.500,2502.00,Burns and Frost (1979) ,60,0,0,40,0,100,0,100,0,0,0,0,0,0,Ref_38,ABC,Car,Car,,,,,,,0,1,0
Eulipotyphla,Erinaceidae,Erinaceus_europaeus,Western european hedgehog,Erinaceus_europaeus_ERINACEIDAE_EULIPOTYPHLA,Laurasiatheria,various,4,,,,,,,,,,,,,4,0.875,274.56,This study,80,10,10,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,53.78,53.78,54.11,6.04,431.18,476.38,0,0,0
Primates,Lemuridae,Eulemur_coronatus,Crowned lemur,Eulemur_coronatus_LEMURIDAE_PRIMATES,Euarchontoglires,captive,4,4,1.395,93.38,4,1.395,65.33,4,1.395,14.95,4,1.395,50.37,4,1.395,158.70,"Campbell (2004), Schwitzer (2009)",0,0,0,0,0,0,0,0,30,0,0,30,70,100,Ref_1,ABC,Herb,Herb,-13.06,13.06,105.09,23.78,1253.32,1527.97,0,0,0
Primates,Lemuridae,Eulemur_fulvus,Brown lemur,Eulemur_fulvus_LEMURIDAE_PRIMATES,Euarchontoglires,captive,5,5,2.088,97.17,5,2.088,67.37,5,2.088,15.23,5,2.088,52.15,5,2.088,164.54,"Campbell (2004), McGrosky et al. (2019b)",0,0,0,0,0,0,0,0,30,0,0,30,70,100,Ref_1,ABC,Herb,Herb,-16.64,16.64,156.13,21.42,1179.32,1588.53,0,0,0
Primates,Lemuridae,Eulemur_macaco,Black lemur,Eulemur_macaco_LEMURIDAE_PRIMATES,Euarchontoglires,captive,5,5,1.917,107.17,5,1.917,82.21,5,1.917,21.11,5,1.917,61.11,5,1.917,189.38,"Campbell (2004), McGrosky et al. (2019b)",0,0,0,0,0,0,0,0,30,0,0,30,70,100,Ref_1,ABC,Herb,Herb,-13.94,13.94,134.19,22.26,1188.63,1717.63,0,0,0
Primates,Lemuridae,Eulemur_mongoz,Mongoose lemur,Eulemur_mongoz_LEMURIDAE_PRIMATES,Euarchontoglires,captive,2,2,1.310,105.25,2,1.310,89.90,2,1.310,15.25,2,1.310,74.65,2,1.310,195.15,Campbell (2004),0,0,0,0,0,0,0,0,20,50,0,70,30,100,Ref_1,ABC,Herb,Herb,-16.11,16.11,125.88,26.20,932.21,1603.66,0,0,0
Carnivora,Otariidae,Eumetopias_jubatus,Steller sea lion,Eumetopias_jubatus_OTARIIDAE_CARNIVORA,Laurasiatheria,captive,1,1,351.000,6720.00,,,,,,,,,,,,,Okamoto et al. (2006),0,0,0,100,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,,,,,,,0,1,0
Chiroptera,Molossidae,Eumops_glaucinus,Wagners mastiff bat,Eumops_glaucinus_MOLOSSIDAE_CHIROPTERA,Laurasiatheria,wild,1,,,,,,,,,,,,,1,0.03,10.80,Brun et al. (2019),100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,0.14,0.14,147.97,23.25,1286.03,1517.73,1,0,0
Rodentia,Cricetidae,Euryoryzomys_russatus,Russet rice rat,Euryoryzomys_russatus_CRICETIDAE_RODENTIA,Euarchontoglires,wild,3,3,0.152,30.30,,,,,,,,,,,,,Brun et al. (2019),20,0,0,0,0,20,0,20,20,0,20,40,40,80,Ref_1,ABC,Herb,Omni,-21.52,21.52,123.76,19.85,1181.09,1366.32,0,0,1
Rodentia,Sciuridae,Eutamias_sibiricus,Siberian chipmunk,Tamias_sibiricus_SCIURIDAE_RODENTIA,Euarchontoglires,captive,8,8,0.072,51.10,8,0.072,27.76,8,0.072,7.03,8,0.072,20.74,8,0.072,78.86,Nieters (2003) ,10,0,0,0,0,10,0,10,10,0,60,70,20,90,Ref_1,ABC,Herb,Herb,50.17,50.17,34.31,-4.88,348.08,403.25,0,0,0
Carnivora,Felidae,Felis_chaus,Jungle cat,Felis_chaus_FELIDAE_CARNIVORA,Laurasiatheria,captive,1,1,9.800,157.11,1,9.800,30.97,1,9.800,1.58,1,9.800,29.39,1,9.800,188.08,McGrosky et al. (2016),0,80,20,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,26.78,26.78,74.24,20.11,596.11,1297.7,0,0,0
Carnivora,Felidae,Felis_silvestris,Wild cat,Felis_silvestris_FELIDAE_CARNIVORA,Laurasiatheria,wild,2,2,2.570,119.12,2,2.57,24.46,2,2.57,2.16,2,2.57,22.30,2,2.57,143.58,"McGrosky et al. (2016), Snipes and Snipes (1997)",10,80,10,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,8.59,8.59,46.98,19.28,510.78,1278.91,0,0,0
Rodentia,Batheryergidae,Fukomys_damarensis,Damara mole rat,Fukomys_damarensis_BATHYERGIDAE_RODENTIA,Euarchontoglires,captive,4,4,0.127,40.08,4,0.127,49.13,4,0.127,18.90,4,0.127,30.25,4,0.127,89.21,Kotzé et al. (2010),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-18.37,18.37,59.7,21.19,662.02,1429.3,0,0,0
Rodentia,Batheryergidae,Fukomys_mechowi,Mechows mole rat,Fukomys_mechowi_BATHYERGIDAE_RODENTIA,Euarchontoglires,captive,4,4,0.453,47.15,4,0.453,43.03,4,0.453,15.73,4,0.453,28.10,4,0.453,90.18,Kotzé et al. (2010),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-12.09,12.09,98.05,21.47,889.09,1439.86,0,0,0
Primates,Galagidae,Galago_moholi,Southern lesser galago,Galago_moholi_GALAGIDAE_PRIMATES,Euarchontoglires,captive,5,5,0.148,48.60,5,0.148,54.16,5,0.148,7.16,5,0.148,47.00,5,0.148,102.76,Campbell (2004),40,0,0,0,0,40,0,40,0,60,0,60,0,60,Ref_1,ABC,Omni,Omni,-13.46,13.46,80.12,21.73,852.21,1461.88,0,0,0
Cetartiodactyla,Bovidae,Gazella_bennettii,Indian gazelle,Gazella_bennettii_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,15.000,682.00,1,15.000,315.00,1,15.000,19.00,1,15.000,296.00,1,15.000,997.00,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_2,D1,Herb,Herb,24.85,24.85,57.22,24.83,529.23,1405.69,0,0,1
Cetartiodactyla,Bovidae,Gazella_dorcas,Dorcas gazelle,Gazella_dorcas_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,3,3,17.330,758.34,3,17.330,224.00,3,17.330,14.00,3,17.330,247.00,3,17.330,982.34,McGrosky et al. (2019),0,0,0,0,0,0,0,0,20,0,0,20,80,100,Ref_114,ABC,Herb,Herb,23.6,23.6,8.05,23.94,132.39,1299.98,0,0,1
Cetartiodactyla,Bovidae,Gazella_gazella,Mountain gazelle,Gazella_gazella_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,15.000,955.95,1,15.000,342.80,1,15.000,20.25,1,15.000,322.55,1,15.000,1298.75,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_55,ABC,Herb,Herb,23.49,23.49,11.17,22.66,180.3,1399.5,0,0,1
Cetartiodactyla,Bovidae,Gazella_spekei,Spekes Gazelle,Gazella_spekei_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,10.000,658.00,1,10.000,213.50,1,10.000,16.50,1,10.000,197.00,1,10.000,871.50,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_61,ABC,Herb,Herb,6.47,6.47,13.51,24.84,203.01,1795.45,0,0,1
Cetartiodactyla,Bovidae,Gazella_subgutturosa,Goitered gazelle,Gazella_subgutturosa_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,5,5,17.500,722.89,5,17.500,202.79,5,17.500,13.93,5,17.500,188.86,5,17.500,1103.60,"This study, Sauer et al (2016)",0,0,0,0,0,0,0,0,0,0,10,10,90,100,Ref_62,ABC,Herb,Herb,32.06,32.06,17.2,12.27,208.39,923.51,0,0,1
Rodentia,Batheryergidae,Georychus_capensis,Cape mole rat,Georychus_capensis_BATHYERGIDAE_RODENTIA,Euarchontoglires,captive,4,4,0.114,37.53,4,0.114,51.53,4,0.114,17.58,4,0.114,33.95,4,0.114,89.06,Kotzé et al. (2010),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-30.12,30.12,51.45,15.19,700.04,1157.34,0,0,0
Rodentia,Muridae,Gerbilliscus_brantsii,Highveld gerbil,Gerbilliscus_brantsii_MURIDAE_RODENTIA,Euarchontoglires,wild,4,4,0.147,49.51,4,0.147,21.88,4,0.147,6.21,4,0.147,15.68,4,0.147,71.39,Perrin and Curtis (1980),20,0,0,0,0,20,0,20,0,0,20,20,60,80,Ref_1,ABC,Herb,Omni,-24.39,24.39,42.8,19.62,568.79,1356.15,0,0,1
Rodentia,Muridae,Gerbilliscus_leucogaster,Bushveld gerbil,Gerbilliscus_leucogaster_MURIDAE_RODENTIA,Euarchontoglires,wild,4,4,0.099,47.20,4,0.099,23.18,4,0.099,6.62,4,0.099,16.56,4,0.099,70.38,Perrin and Curtis (1980),20,0,0,0,0,20,0,20,0,0,20,20,60,80,Ref_1,ABC,Herb,Omni,-19.25,19.25,65.22,20.79,709.59,1402.22,0,0,1
