"","Species","mean_body_mass","class","order","family","genus","species","common_name","gestation_d","weaning_d","inter_litter_or_interbirth_interval_y","birth_or_hatching_weight_g","female_maturity_d","litter_or_clutch_size_n"
"690","Peromyscus yucatanicus",28.1775,"Mammalia","Rodentia","Cricetidae","Peromyscus","yucatanicus","Yucatan Deermouse",30.8,31.22,0.083230664,3.42,49.35,3
"691","Peromyscus zarhynchus",42.58,"Mammalia","Rodentia","Cricetidae","Peromyscus","zarhynchus","Chiapan Deermouse",31.095,31.22,0.091170431,4.37,49.52,2.27
"692","Petaurus biacensis",127,"Mammalia","Diprotodontia","Petauridae","Petaurus","biacensis","Biak Glider",16.34,120.325,0.851471595,0.187,278.015,1.91
"693","Petaurus breviceps",124.15127735,"Mammalia","Diprotodontia","Petauridae","Petaurus","breviceps","Sugar Glider",16.34,120.325,0.851471595,0.187,278.015,2
"694","Petrogale xanthopus",6750.00886366667,"Mammalia","Diprotodontia","Macropodidae","Petrogale","xanthopus","Yellow-footed Rock-wallaby",32.08,343.025,0.536618754,0.49,561.39,1.06
"695","Phacochoerus aethiopicus",72151.88,"Mammalia","Artiodactyla","Suidae","Phacochoerus","aethiopicus","Desert Warthog",166.85554,106.33582,0.999315537,682.365,597.8539,3.365
"696","Phacochoerus africanus",97083.3316666667,"Mammalia","Artiodactyla","Suidae","Phacochoerus","africanus","Common Wart-hog",168.245,84,1.166324435,660,578,3
"697","Phascolarctos cinereus",7411.48416666667,"Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","cinereus","Koala",31,342,1.156741958,0.36,646,1.005
"698","Philander frenatus",510,"Mammalia","Didelphimorphia","Didelphidae","Philander","frenatus","Southeastern Four-eyed Opossum",13.5,79.77,0.290212183,0.2,216.665,4.675
"699","Philantomba maxwellii",6750,"Mammalia","Artiodactyla","Bovidae","Philantomba","maxwellii","Maxwell's Duiker",193,60.872,0.725530459,827.49,487,1
"700","Philantomba monticola",5399.0125,"Mammalia","Artiodactyla","Bovidae","Philantomba","monticola","Blue Duiker",195.70348,27.28,0.725530459,800,486.976,1
"701","Phoca largha",91265.686595,"Mammalia","Carnivora","Phocidae","Phoca","largha","Spotted Seal",270.7703,30,0.999315537,10606.875,1438.28918,1
"702","Phoca vitulina",84920.8325,"Mammalia","Carnivora","Phocidae","Phoca","vitulina","Harbor Seal",253.5703,30.37,0.999315537,11000,1438.28918,1
"703","Phocarctos hookeri",273499.99,"Mammalia","Carnivora","Otariidae","Phocarctos","hookeri","New Zealand Sealion",365,243.44,0.999315537,7000,2030,1
"704","Phocoena phocoena",46245.2325,"Mammalia","Cetacea","Phocoenidae","Phocoena","phocoena","Harbor Porpoise",307.013125,251.045,0.999315537,6887.5,1056.43356,1
"705","Phodopus campbelli",26.3725,"Mammalia","Rodentia","Cricetidae","Phodopus","campbelli","Campbell's Desert Hamster",20,20,0.087611225,1.77,118,5.48
"706","Phodopus sungorus",27.24125,"Mammalia","Rodentia","Cricetidae","Phodopus","sungorus","Striped Desert Hamster",19.8921875,20,0.087611225,1.885,120,5.24
"707","Physeter catodon",17250308.1933333,"Mammalia","Cetacea","Physeteridae","Physeter","catodon","Sperm Whale",464.62,415.76,3.472279261,774000,3857.52,1
"708","Pipistrellus pipistrellus",5.33333333333333,"Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","pipistrellus","Common Pipistrelle",42,42,0.999315537,1.125,456,1.285
"709","Pipistrellus pygmaeus",5,"Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","pygmaeus","Soprano Pipistrelle",42,42,0.999315537,1.125,456,1.2
"710","Pipistrellus subflavus",6.31,"Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","subflavus","Eastern Pipistrelle",44.855,31.21,0.999315537,1.1,228.765,1.98
"711","Planigale gilesi",8.4,"Mammalia","Dasyuromorphia","Dasyuridae","Planigale","gilesi","Paucident Planigale",15.62,83.52,0.933607118,0.0097,234.985,5.23
"712","Platanista minor",84000,"Mammalia","Cetacea","Platanistidae","Platanista","minor","Indus River Dolphin",308.1645,352.235,2,7000,3652,1
"713","Plecotus auritus",8.79875,"Mammalia","Chiroptera","Vespertilionidae","Plecotus","auritus","Brown Long-eared Bat",65.06,42.045,0.999315537,2.09,351.665,1.275
"714","Plecotus austriacus",10.095,"Mammalia","Chiroptera","Vespertilionidae","Plecotus","austriacus","Gray Long-eared Bat",65.06,42.045,0.999315537,2.09,351.665,1.275
"715","Plecotus kolombatovici",8.19,"Mammalia","Chiroptera","Vespertilionidae","Plecotus","kolombatovici","Kolombatovic's Long-eared Bat",65.06,42.045,0.999315537,2.09,351.665,1.275
"716","Plecotus teneriffae",9.195,"Mammalia","Chiroptera","Vespertilionidae","Plecotus","teneriffae","Canary Long-eared Bat",65.06,42.045,0.999315537,2.09,351.665,1.275
"717","Podomys floridanus",31.275,"Mammalia","Rodentia","Cricetidae","Podomys","floridanus","Florida Deermouse",23.21786,25,0.090349076,2.4,40.36,2.6
"718","Poecilogale albinucha",269.74833335,"Mammalia","Carnivora","Mustelidae","Poecilogale","albinucha","African Striped Weasel",32.2539,70.84652,0.666201232,4,676.99074,2.215
"719","Pongo abelii",53408.29,"Mammalia","Primates","Hominidae","Pongo","abelii","Sumatran Orangutan",259.42,1088.8,4.683778234,1671.93,2936.81,1.14
"720","Pongo pygmaeus",59413.8816666667,"Mammalia","Primates","Hominidae","Pongo","pygmaeus","Bornean Orangutan",259.42,1088.8,4.683778234,1671.93,2936.81,1.14
"721","Pontoporia blainvillei",39150.2023133333,"Mammalia","Cetacea","Iniidae","Pontoporia","blainvillei","Franciscana",329.62556,317.834,1.998631075,7900,916.78054,1
"722","Potamochoerus larvatus",70250.0775,"Mammalia","Artiodactyla","Suidae","Potamochoerus","larvatus","Bush-pig",120.865,91.154,0.999315537,762,1096,3
"723","Potamochoerus porcus",78333.3333333333,"Mammalia","Artiodactyla","Suidae","Potamochoerus","porcus","Red River Hog",120,91.154,0.999315537,762,1096,3
"724","Potorous gilbertii",1087.335,"Mammalia","Diprotodontia","Potoroidae","Potorous","gilbertii","Gilbert's Potoroo",33.55,167.33,0.380561259,0.3215,382.625,1
"725","Potorous tridactylus",1101.5425,"Mammalia","Diprotodontia","Potoroidae","Potorous","tridactylus","Long-nosed Potoroo",31.775,160.665,0.380561259,0.3215,406.92,1
