"","Species","mean_body_mass","class","order","family","genus","species","common_name","gestation_d","weaning_d","inter_litter_or_interbirth_interval_y","birth_or_hatching_weight_g","female_maturity_d","litter_or_clutch_size_n"
"129","Calomys expulsus",48,"Mammalia","Rodentia","Cricetidae","Calomys","expulsus","Caatinga Laucha",22.00914,17.99144,0.057494867,2.37,47.76496,4.985
"130","Calomys venustus",49.35,"Mammalia","Rodentia","Cricetidae","Calomys","venustus","Cordoba Laucha",22.00914,17.99144,0.057494867,2.37,47.76496,4.985
"131","Caluromys philander",278.405695266667,"Mammalia","Didelphimorphia","Didelphidae","Caluromys","philander","Bare-tailed Woolly Opossum",23.995,109.825,0.455167693,0.2,309.26,4.34
"132","Camelus bactrianus",475000,"Mammalia","Artiodactyla","Camelidae","Camelus","bactrianus","Bactrian Camel",396.495,319.289,1.998631075,35500,1278.156,1
"133","Camelus dromedarius",477000,"Mammalia","Artiodactyla","Camelidae","Camelus","dromedarius","One-humped Camel",395.755,472.63934,1.672019165,36875.595,1252.0934,1
"134","Canis adustus",10273.7483333333,"Mammalia","Carnivora","Canidae","Canis","adustus","Side-striped Jackal",63.5,61.3,0.999315537,207.5,296.18028,4.16
"135","Canis aureus",11000,"Mammalia","Carnivora","Canidae","Canis","aureus","Golden Jackal",62.3938,69.74704,0.999315537,207.5,334,3.95
"136","Canis latrans",11915.625,"Mammalia","Carnivora","Canidae","Canis","latrans","Coyote",62.3938,54.91932,0.999315537,249.75,313.18644,5.605
"137","Canis lupus",32580.7244642857,"Mammalia","Carnivora","Canidae","Canis","lupus","Wolf",62.1969,47,0.999315537,434.3,669.90472,4.98
"138","Canis mesomelas",9116.825,"Mammalia","Carnivora","Canidae","Canis","mesomelas","Black-backed Jackal",62.5,60,0.749828884,159,309,3.95
"139","Capra caucasica",69773.415,"Mammalia","Artiodactyla","Bovidae","Capra","caucasica","Tur",164.25322,182.616,1.41889117,2850,889.94864,1.1
"140","Capra hircus",60833.3333333333,"Mammalia","Artiodactyla","Bovidae","Capra","hircus","Goat",155.5,159.02,1.117043121,2250,446.488,1.5
"141","Capra ibex",80666.6666666667,"Mammalia","Artiodactyla","Bovidae","Capra","ibex","Alpine Ibex",169,228.27,1.41889117,2791.43,817.77,1.18
"142","Capra nubiana",58386.7075,"Mammalia","Artiodactyla","Bovidae","Capra","nubiana","Nubian Ibex",169,228.27,1.41889117,2791.43,817.77,1.11
"143","Capra sibirica",106250,"Mammalia","Artiodactyla","Bovidae","Capra","sibirica","Siberian Ibex",170.45,228.27,1.338809035,2850,797,1.18
"144","Capra walie",80000,"Mammalia","Artiodactyla","Bovidae","Capra","walie","Walia",167.5,228.27,1.41889117,2791.43,797,1.1
"145","Capreolus capreolus",21885.66602,"Mammalia","Artiodactyla","Cervidae","Capreolus","capreolus","European Roe",153,89,0.999315537,1142,413,1.785
"146","Capreolus pygargus",30558.35,"Mammalia","Artiodactyla","Cervidae","Capreolus","pygargus","Siberian Roe",196,91.64,0.999315537,1208.55,413,1.895
"147","Capricornis crispus",67676.88,"Mammalia","Artiodactyla","Bovidae","Capricornis","crispus","Japanese Serow",215,59.27,1.498973306,3505.245,1041.615,1
"148","Capricornis swinhoei",43030.64,"Mammalia","Artiodactyla","Bovidae","Capricornis","swinhoei","Formosan Serow",215,59.27,1.498973306,3505.245,1041.615,1
"149","Caracal caracal",15333.3333333333,"Mammalia","Carnivora","Felidae","Caracal","caracal","Caracal",73.95948,122,0.999315537,165,456,3
"150","Carollia perspicillata",16.325,"Mammalia","Chiroptera","Phyllostomidae","Carollia","perspicillata","Seba's Short-tailed Bat",95,35.63,0.435318275,5,258,1
"151","Castor canadensis",18193.33375,"Mammalia","Rodentia","Castoridae","Castor","canadensis","American Beaver",114.43936,56.43,0.999315537,430,648.2088,3.58
"152","Cavia porcellus",681.025,"Mammalia","Rodentia","Caviidae","Cavia","porcellus","Domesticated Guinea Pig",67.495,17.52208,0.262833676,83.85,68.481,3.45
"153","Cebus albifrons",2472.48876066667,"Mammalia","Primates","Cebidae","Cebus","albifrons","White-fronted Capuchin",158,270.32,1.498288843,232.17,1389.70776,1
"154","Cebus apella",2679.9692315,"Mammalia","Primates","Cebidae","Cebus","apella","Tufted Capuchin",158,307,1.817932923,235.54,1727.44808,1.05
"155","Cebus capucinus",2720.77717066667,"Mammalia","Primates","Cebidae","Cebus","capucinus","White-headed Capuchin",162,521,2.18183436,233.625,1505,1
"156","Cebus libidinosus",2642.5,"Mammalia","Primates","Cebidae","Cebus","libidinosus","Black-striped Capuchin",158,307,1.817932923,235.54,1727.44808,1.05
"157","Cebus nigritus",2642.5,"Mammalia","Primates","Cebidae","Cebus","nigritus","Black Capuchin",158,307,1.817932923,235.54,1751.89616,1.025
"158","Cebus xanthosternos",2642.5,"Mammalia","Primates","Cebidae","Cebus","xanthosternos","Golden-bellied Capuchin",158,307,1.817932923,235.54,1727.44808,1.05
"159","Ceratotherium simum",2387083.33333333,"Mammalia","Perissodactyla","Rhinocerotidae","Ceratotherium","simum","White Rhinoceros",515,365,2.705338809,51166.67,2026.12452,1
"160","Cercartetus concinnus",29.3,"Mammalia","Diprotodontia","Burramyidae","Cercartetus","concinnus","Southwestern Pygmy Possum",52.14,56,0.334017796,0.01,358.48,4.3
"161","Cercopithecus albogularis",6116.5,"Mammalia","Primates","Cercopithecidae","Cercopithecus","albogularis","Sykes' Monkey",136.962,315.62132,1.479466119,391.65,1845.03032,1
"162","Cercopithecus ascanius",3705,"Mammalia","Primates","Cercopithecidae","Cercopithecus","ascanius","Red-tailed Monkey",160.845,182,1.968514716,387.415,1684.59,1
"163","Cercopithecus cephus",3523.31333333333,"Mammalia","Primates","Cercopithecidae","Cercopithecus","cephus","Moustached Guenon",172,363.965,2.247775496,339,1521.9,1
"164","Cercopithecus doggetti",6116.5,"Mammalia","Primates","Cercopithecidae","Cercopithecus","doggetti","Silver Monkey",136.962,315.62132,1.479466119,391.65,1845.03032,1
"165","Cercopithecus erythrotis",3355,"Mammalia","Primates","Cercopithecidae","Cercopithecus","erythrotis","Red-eared Guenon",172,365,2.247775496,339,1521.9,1
"166","Cercopithecus kandti",6116.5,"Mammalia","Primates","Cercopithecidae","Cercopithecus","kandti","Golden Monkey",136.962,315.62132,1.479466119,391.65,1845.03032,1
"167","Cercopithecus mitis",8154.125,"Mammalia","Primates","Cercopithecidae","Cercopithecus","mitis","Blue Monkey",136.962,315.62132,1.479466119,391.65,1845.03032,1
"168","Cercopithecus neglectus",5863.66666666667,"Mammalia","Primates","Cercopithecidae","Cercopithecus","neglectus","De Brazza's Monkey",176.0035,395.334,1.299110198,260,1611,1
"169","Cercopithecus sclateri",3304.99,"Mammalia","Primates","Cercopithecidae","Cercopithecus","sclateri","Sclater's Guenon",172,365,2.247775496,339,1521.9,1.005
"170","Cerdocyon thous",6046.415,"Mammalia","Carnivora","Canidae","Cerdocyon","thous","Crab-eating Fox",56.3066,90,0.665749487,140,276.05452,4
"171","Cheirogaleus adipicaudatus",340,"Mammalia","Primates","Cheirogaleidae","Cheirogaleus","adipicaudatus","Spiny Desert Dwarf Lemur",65.74176,60.65,0.999315537,18.04,416.47186,2.25
"172","Cheirogaleus medius",327.095,"Mammalia","Primates","Cheirogaleidae","Cheirogaleus","medius","Lesser Dwarf Lemur",61.79,61.78508,0.999315537,16.33,413.84,2.14
"173","Chionomys nivalis",39.755,"Mammalia","Rodentia","Cricetidae","Chionomys","nivalis","European Snow Vole",20.96042,21.9135,0.090349076,3.7,371.23,3.045
"174","Chlorocebus aethiops",5448.08333333333,"Mammalia","Primates","Cercopithecidae","Chlorocebus","aethiops","Grivet",167.99,212.74764,1.189185489,325.895,1318.86,1
"175","Chlorocebus cynosuros",5104.25,"Mammalia","Primates","Cercopithecidae","Chlorocebus","cynosuros","Malbrouck",167.99,212.74764,1.189185489,325.895,1318.86,1
"176","Chlorocebus djamdjamensis",5104.25,"Mammalia","Primates","Cercopithecidae","Chlorocebus","djamdjamensis","Bale Mountains Vervet",167.99,212.74764,1.189185489,325.895,1318.86,1
"177","Chlorocebus pygerythrus",5104.25,"Mammalia","Primates","Cercopithecidae","Chlorocebus","pygerythrus","Vervet Monkey",167.99,212.74764,1.189185489,325.895,1318.86,1
"178","Chlorocebus sabaeus",5104.25,"Mammalia","Primates","Cercopithecidae","Chlorocebus","sabaeus","Green Monkey",167.99,212.74764,1.189185489,325.895,1318.86,1
"179","Chlorocebus tantalus",4961.5,"Mammalia","Primates","Cercopithecidae","Chlorocebus","tantalus","Tantalus Monkey",167.99,212.74764,1.189185489,325.895,1318.86,1
"180","Choloepus didactylus",6250,"Mammalia","Pilosa","Megalonychidae","Choloepus","didactylus","Linnaeus's Two-toed Sloth",274.315,114.045,1.93211499,356,1270.87,1
"181","Choloepus hoffmanni",5188.8,"Mammalia","Pilosa","Megalonychidae","Choloepus","hoffmanni","Hoffmann's Two-toed Sloth",344.8852,21.00084,1.24880219,393.625,823.61616,1
"182","Civettictis civetta",13333.34,"Mammalia","Carnivora","Viverridae","Civettictis","civetta","African Civet",68.4,120,0.592936345,380.5,365,2.31
"183","Coendou prehensilis",3807.5,"Mammalia","Rodentia","Erethizontidae","Coendou","prehensilis","Brazilian Porcupine",203,95,1.078466804,408,578.284,1
"184","Colobus angolensis",8781.25,"Mammalia","Primates","Cercopithecidae","Colobus","angolensis","Angola Colobus",190.52936,269.98366,1.210691307,573.4,1642,1
"185","Colobus guereza",9832.602897,"Mammalia","Primates","Cercopithecidae","Colobus","guereza","Mantled Guereza",180,376.79768,1.210691307,493.445,1635.92,1
"186","Colobus polykomos",9070.27142733333,"Mammalia","Primates","Cercopithecidae","Colobus","polykomos","King Colobus",190.52936,269.98366,1.210691307,573.4,1642,1
"187","Colobus satanas",8653.145,"Mammalia","Primates","Cercopithecidae","Colobus","satanas","Black Colobus",190.52936,269.98366,1.210691307,573.4,1642,1
"188","Colobus vellerosus",8509,"Mammalia","Primates","Cercopithecidae","Colobus","vellerosus","Ursine Colobus",190.52936,269.98366,1.210691307,573.4,1642,1
"189","Connochaetes gnou",132250,"Mammalia","Artiodactyla","Bovidae","Connochaetes","gnou","Black Wildebeest",258.723,228,1,11000,763,1
"190","Connochaetes taurinus",166356.5913,"Mammalia","Artiodactyla","Bovidae","Connochaetes","taurinus","Blue Wildebeest",253,256.32,0.999315537,18084.68,515.9472,1
"191","Corynorhinus mexicanus",11.7,"Mammalia","Chiroptera","Vespertilionidae","Corynorhinus","mexicanus","Mexican Big-eared Bat",66.635,31.5,0.999315537,2.425,210.45,1
"192","Corynorhinus townsendii",12.275,"Mammalia","Chiroptera","Vespertilionidae","Corynorhinus","townsendii","Townsend's Big-eared Bat",67.49,40.5,0.999315537,2.4,210.45,1
"193","Cricetus cricetus",444.6625,"Mammalia","Rodentia","Cricetidae","Cricetus","cricetus","Common Hamster",20,24.85,0.359206023,5.05,86.48,7.14
"194","Crocidura aleksandrisi",7.425,"Mammalia","Soricomorpha","Soricidae","Crocidura","aleksandrisi","Cyrenaica Shrew",27.15,25.13094,0.25,0.53,175,4
"195","Crocidura arabica",10.6,"Mammalia","Soricomorpha","Soricidae","Crocidura","arabica","Arabian Shrew",29,23.82,0.077344285,0.88,75,4.04
"196","Crocidura caspica",9.9,"Mammalia","Soricomorpha","Soricidae","Crocidura","caspica","Caspian Shrew",29,24.41,0.2,0.84,119.62612,4.02
"197","Crocidura dsinezumi",10.6,"Mammalia","Soricomorpha","Soricidae","Crocidura","dsinezumi","Dsinezumi Shrew",29,23.82,0.077344285,0.88,75,4.165
"198","Crocidura ichnusae",10.6,"Mammalia","Soricomorpha","Soricidae","Crocidura","ichnusae","North African White-toothed Shrew",29,23.82,0.077344285,0.88,75,4.04
"199","Crocidura orii",10.6,"Mammalia","Soricomorpha","Soricidae","Crocidura","orii","Ryukyu Shrew",29,23.82,0.077344285,0.88,75,4.165
"200","Crocidura pullata",10.6,"Mammalia","Soricomorpha","Soricidae","Crocidura","pullata","Kashmir White-toothed Shrew",29,23.82,0.077344285,0.88,75,4.04
"201","Crocidura rapax",10.6,"Mammalia","Soricomorpha","Soricidae","Crocidura","rapax","Chinese White-toothed Shrew",29,23.82,0.077344285,0.88,75,4.04
"202","Crocidura russula",10.4075,"Mammalia","Soricomorpha","Soricidae","Crocidura","russula","Greater White-toothed Shrew",29,23.82,0.077344285,0.88,75,4.04
"203","Crocidura shantungensis",7.425,"Mammalia","Soricomorpha","Soricidae","Crocidura","shantungensis","Asian Lesser White-toothed Shrew",27.15,25.13094,0.25,0.53,175,4
"204","Crocidura sicula",10.84,"Mammalia","Soricomorpha","Soricidae","Crocidura","sicula","Sicilian Shrew",29.76146,23.18,0.077344285,0.885,101.08,4.38
"205","Crocidura silacea",10.25,"Mammalia","Soricomorpha","Soricidae","Crocidura","silacea","Lesser Gray-brown Musk Shrew",29,23.82,0.077344285,0.88,75,4.02
"206","Crocidura suaveolens",7.33125,"Mammalia","Soricomorpha","Soricidae","Crocidura","suaveolens","Lesser White-toothed Shrew",27.15,25.13094,0.25,0.53,175,4
"207","Crocidura vorax",10.6,"Mammalia","Soricomorpha","Soricidae","Crocidura","vorax","Voracious Shrew",29,23.82,0.077344285,0.88,75,4.04
"208","Crocidura zimmermanni",10.6,"Mammalia","Soricomorpha","Soricidae","Crocidura","zimmermanni","Cretan Shrew",29,23.82,0.077344285,0.88,75,4.04
"209","Crocuta crocuta",63000,"Mammalia","Carnivora","Hyaenidae","Crocuta","crocuta","Spotted Hyena",110,321.70852,1.218398357,1390,1049.694,2
"210","Crossarchus obscurus",790,"Mammalia","Carnivora","Herpestidae","Crossarchus","obscurus","Common Kusimanse",68.481,23,0.333086927,9.78,274,4
"211","Crossarchus platycephalus",790,"Mammalia","Carnivora","Herpestidae","Crossarchus","platycephalus","Flat-headed Kusimanse",68.481,23,0.333086927,9.78,274,4
"212","Cryptomys amatus",77.95,"Mammalia","Rodentia","Bathyergidae","Cryptomys","amatus","Zambian Mole-rat",83.12706,45.654,0.361396304,8.63,450,2.86
"213","Cryptomys bocagei",86.75,"Mammalia","Rodentia","Bathyergidae","Cryptomys","bocagei","Bocage's Mole-rat",81.26412,45.654,0.361396304,8.63,450,2.86
"214","Cryptomys darlingi",68.975,"Mammalia","Rodentia","Bathyergidae","Cryptomys","darlingi","Darling's Mole-rat",81.13206,38.862,0.362765229,8.435,450,2.67
"215","Cryptomys hottentotus",105.7,"Mammalia","Rodentia","Bathyergidae","Cryptomys","hottentotus","Southern African Mole-rat",81.26412,45.654,0.361396304,8.63,450,2.86
"216","Cuniculus paca",9039,"Mammalia","Rodentia","Cuniculidae","Cuniculus","paca","Lowland Paca",116,78,0.5229295,680,335.48,1.01
"217","Cuniculus taczanowskii",8999.95,"Mammalia","Rodentia","Cuniculidae","Cuniculus","taczanowskii","Mountain Paca",115.37186,75.67538,0.5229295,681.2,342.289,1
"218","Cuon alpinus",15750,"Mammalia","Carnivora","Canidae","Cuon","alpinus","Dhole",61.5,57.33,0.999315537,275,365,4.3
"219","Cynomys ludovicianus",1095.164219,"Mammalia","Rodentia","Sciuridae","Cynomys","ludovicianus","Black-tailed Prairie Dog",35.41506,47.22,2.248459959,15.75,798.64064,4.43
"220","Cystophora cristata",233965.6029,"Mammalia","Carnivora","Phocidae","Cystophora","cristata","Hooded Seal",334.58,9.1308,0.999315537,18690.795,1095.75,1
"221","Dama dama",53954.1016666667,"Mammalia","Artiodactyla","Cervidae","Dama","dama","Fallow Deer",233,182.92036,0.999315537,4511.17,515.14,1.07
"222","Damaliscus pygargus",84500,"Mammalia","Artiodactyla","Bovidae","Damaliscus","pygargus","Bontebok (see comments",243,152,0.999315537,6792,707,1.25
"223","Dasyprocta coibae",2229.56,"Mammalia","Rodentia","Dasyproctidae","Dasyprocta","coibae","Coiban Agouti",109.825,140,0.34770705,227,487,1.64
"224","Dasyprocta punctata",2292.07555555556,"Mammalia","Rodentia","Dasyproctidae","Dasyprocta","punctata","Central American Agouti",109.825,140,0.34770705,227,487,1.64
"225","Dasyuroides byrnei",103.75,"Mammalia","Dasyuromorphia","Dasyuridae","Dasyuroides","byrnei","Kowari",32.745,110,0.467488022,0.0235,273.96,6
"226","Dasyurus geoffroii",1150.84395275,"Mammalia","Dasyuromorphia","Dasyuridae","Dasyurus","geoffroii","Western Quoll",16.83,156.06,0.999315537,0.0105,365.28,5.735
"227","Dasyurus viverrinus",965.075,"Mammalia","Dasyuromorphia","Dasyuridae","Dasyurus","viverrinus","Eastern Quoll",20.5,153.3,0.999315537,0.015,365.28,6
"228","Daubentonia madagascariensis",2388.44333333333,"Mammalia","Primates","Daubentoniidae","Daubentonia","madagascariensis","Aye-aye",167,197.7,2.289404517,121.79,882,1
"229","Delphinapterus leucas",1405833.33333333,"Mammalia","Cetacea","Monodontidae","Delphinapterus","leucas","Beluga",409.05984,687.8536,2.748459959,66000,1710.80756,1.02
"230","Delphinus capensis",77818.345,"Mammalia","Cetacea","Delphinidae","Delphinus","capensis","Long-beaked Common Dolphin",315.81,319.578,3,7059.825,1674.58872,0.99
"231","Dendrohyrax arboreus",2978.055,"Mammalia","Hyracoidea","Procaviidae","Dendrohyrax","arboreus","Southern Tree Hyrax",229,152.04,1,380,365,1.755
"232","Desmana moschata",983.805,"Mammalia","Soricomorpha","Talpidae","Desmana","moschata","Desman",37.195,31.72506,0.082135524,21.955,150.96256,5.07
"233","Desmodus rotundus",32.245,"Mammalia","Chiroptera","Phyllostomidae","Desmodus","rotundus","Common Vampire Bat",189,274,0.791170431,8,285,1
"234","Dicerorhinus sumatrensis",1291111.11111111,"Mammalia","Perissodactyla","Rhinocerotidae","Dicerorhinus","sumatrensis","Sumatran Rhinoceros",236,502,3.497604381,23000,2739.24,1
"235","Diceros bicornis",1078646.84666667,"Mammalia","Perissodactyla","Rhinocerotidae","Diceros","bicornis","Black Rhinoceros",474,606.28512,2.886201232,34999.99,1826,1
"236","Dicrostonyx groenlandicus",58.91,"Mammalia","Rodentia","Cricetidae","Dicrostonyx","groenlandicus","Nearctic Collared Lemming",20.84,16.13108,0.069130732,4.35,40,3.4
"237","Dicrostonyx nelsoni",58.44,"Mammalia","Rodentia","Cricetidae","Dicrostonyx","nelsoni","Nelson's Collared Lemming",20.84,16.13108,0.069130732,4.35,40,3.4
"238","Dicrostonyx nunatakensis",58.44,"Mammalia","Rodentia","Cricetidae","Dicrostonyx","nunatakensis","Ogilvie Mountains Collared Lemming",20.84,16.13108,0.069130732,4.35,40,3.4
"239","Dicrostonyx richardsoni",57.62,"Mammalia","Rodentia","Cricetidae","Dicrostonyx","richardsoni","Richardson's Collared Lemming",20.76824,16.77554,0.069130732,4.35,40.08776,3.45
"240","Dicrostonyx torquatus",76.4425,"Mammalia","Rodentia","Cricetidae","Dicrostonyx","torquatus","Palearctic Collared Lemming",19.1308,30.423,0.062970568,3.01,91.308,3.85
"241","Dicrostonyx unalascensis",58.44,"Mammalia","Rodentia","Cricetidae","Dicrostonyx","unalascensis","Unalaska Collared Lemming",21,16.13108,0.067077344,4.42,40,3.27
"242","Dicrostonyx vinogradovi",67.885,"Mammalia","Rodentia","Cricetidae","Dicrostonyx","vinogradovi","Wrangel Island Collared Lemming",19.1308,30.423,0.062970568,3.01,91.308,3.85
"243","Didelphis aurita",999.9375,"Mammalia","Didelphimorphia","Didelphidae","Didelphis","aurita","Big-eared Opossum",14,100,0.424366872,0.18,178,6.2
"244","Didelphis marsupialis",1325.98093025,"Mammalia","Didelphimorphia","Didelphidae","Didelphis","marsupialis","Common Opossum",14,100,0.424366872,0.18,178,6.2
"245","Didelphis virginiana",2423.32600225,"Mammalia","Didelphimorphia","Didelphidae","Didelphis","virginiana","Virginia Opossum",12.345,100,0.354373717,0.15,184,6.645
"246","Dipodomys compactus",49.25,"Mammalia","Rodentia","Heteromyidae","Dipodomys","compactus","Gulf Coast Kangaroo Rat",29.91082,34.19634,0.391444216,4.995,78.82924,3
"247","Dipodomys merriami",39.27625,"Mammalia","Rodentia","Heteromyidae","Dipodomys","merriami","Merriam's Kangaroo Rat",27.8490625,20.40606,0.147843943,2.92,101.9606,2.3
"248","Dipodomys nitratoides",37.8,"Mammalia","Rodentia","Heteromyidae","Dipodomys","nitratoides","San Joaquin Valley Kangaroo Rat",29.385,20.85,0.147843943,2.94,95.24,2.3
"249","Dipodomys ordii",52.85,"Mammalia","Rodentia","Heteromyidae","Dipodomys","ordii","Ord's Kangaroo Rat",29.91082,34.19634,0.391444216,4.995,78.82924,3.15
"250","Dipodomys spectabilis",129.736666666667,"Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","Banner-tailed Kangaroo Rat",23.5,24,0.114989733,7.75,310.33,2.65
"251","Dolichotis patagonum",12500,"Mammalia","Rodentia","Caviidae","Dolichotis","patagonum","Patagonian Mara",91,70,0.273251198,561.94,158,1.875
"252","Dugong dugon",375000,"Mammalia","Sirenia","Dugongidae","Dugong","dugon","Dugong",372.52,547.848,4.455509925,27500,3470,1
"253","Elaphurus davidianus",177107.501111111,"Mammalia","Artiodactyla","Cervidae","Elaphurus","davidianus","Pere David's Deer",286.4534375,167,0.984941821,11206.25,821.386,1.11
"254","Elephantulus intufi",49.85,"Mammalia","Macroscelidea","Macroscelididae","Elephantulus","intufi","Bushveld Elephant Shrew",51.7412,38,0.183436003,10,334.796,1.6
"255","Elephantulus myurus",59.1183333333333,"Mammalia","Macroscelidea","Macroscelididae","Elephantulus","myurus","Eastern Rock Elephant Shrew",55.3924,26.628,0.134154689,8.1,54.30268,1.84
"256","Elephantulus rufescens",54.0625,"Mammalia","Macroscelidea","Macroscelididae","Elephantulus","rufescens","Rufous Elephant Shrew",58.74148,23.43572,0.241752225,10.6,61.87,1.41
"257","Elephas maximus",3631900,"Mammalia","Proboscidea","Elephantidae","Elephas","maximus","Asian Elephant",642.84,548,3.185831622,100038.9,3569.03354,1
"258","Enhydra lutris",17764.9791666667,"Mammalia","Carnivora","Mustelidae","Enhydra","lutris","Sea Otter",216.0956,175.30786,0.999315537,1909.17,659.435,1
"259","Eptesicus fuscus",17.37375,"Mammalia","Chiroptera","Vespertilionidae","Eptesicus","fuscus","Big Brown Bat",43.57,34.18,0.999315537,3.555,471.145,1.925
"260","Equus asinus",202617.595341667,"Mammalia","Perissodactyla","Equidae","Equus","asinus","Ass",361.65946,152.2,1,29249.99,708,1
"261","Equus burchellii",280000,"Mammalia","Perissodactyla","Equidae","Equus","burchellii","Burchell's Zebra",367.69088,366.215,1.522245038,32137.27,900,1
"262","Equus caballus",312682.500666667,"Mammalia","Perissodactyla","Equidae","Equus","caballus","Horse",337.985,274,1.499657769,37900,914,1
"263","Equus grevyi",388000,"Mammalia","Perissodactyla","Equidae","Equus","grevyi","Grevy's Zebra",405.71375,275.39906,1.574264203,40000,1341.92,1
"264","Equus kiang",268750,"Mammalia","Perissodactyla","Equidae","Equus","kiang","Kiang",304.4,418.225,1.498973306,36000,1000.7995,1
"265","Equus quagga",286666.666666667,"Mammalia","Perissodactyla","Equidae","Equus","quagga","Quagga",365.28,395,1.761122519,32000,906.5625,1
"266","Equus zebra",294000,"Mammalia","Perissodactyla","Equidae","Equus","zebra","Mountain Zebra",363.49,304,1.812388775,30000,1009,1
"267","Erignathus barbatus",287777.776666667,"Mammalia","Carnivora","Phocidae","Erignathus","barbatus","Bearded Seal",275.16878,18,1.498973306,35743.465,1978.94872,1
"268","Erythrocebus patas",6480.125,"Mammalia","Primates","Cercopithecidae","Erythrocebus","patas","Patas Monkey",167.2,162.22388,0.988364134,546.5,977.75912,1
"269","Eschrichtius robustus",26900000,"Mammalia","Cetacea","Eschrichtiidae","Eschrichtius","robustus","Gray Whale",379.9,185.6596,1.873716632,500000,2922,1
"270","Eubalaena australis",37666666.6666667,"Mammalia","Cetacea","Balaenidae","Eubalaena","australis","Southern Right Whale",363.49,224.24,3.322710472,1160000,3285,1
"271","Eubalaena glacialis",26638546.23,"Mammalia","Cetacea","Balaenidae","Eubalaena","glacialis","North Atlantic Right Whale",347.98,213.052,3.976728268,797164,3347.96,1
"272","Eubalaena japonica",23000000,"Mammalia","Cetacea","Balaenidae","Eubalaena","japonica","North Pacific Right Whale",350.007,273.341,3.976728268,797164,3500.23,1
"273","Eudorcas rufifrons",20005.5,"Mammalia","Artiodactyla","Bovidae","Eudorcas","rufifrons","Red-fronted Gazelle",172.365,102,0.52019165,2600,365,1
"274","Eudorcas thomsonii",24399.2233333333,"Mammalia","Artiodactyla","Bovidae","Eudorcas","thomsonii","Thomson's Gazelle",170.74596,101.9803,0.530869268,2576.875,365,1
"275","Eulemur albifrons",2426.29,"Mammalia","Primates","Lemuridae","Eulemur","albifrons","White-headed Lemur",124.67636,152.5,1.234770705,74.83,634.375,1.07
"276","Eulemur albocollaris",2408.185,"Mammalia","Primates","Lemuridae","Eulemur","albocollaris","White-collared Lemur",119.415,153,1.484599589,80.85,647.77462,1.1
"277","Eulemur cinereiceps",2419,"Mammalia","Primates","Lemuridae","Eulemur","cinereiceps","Gray-headed Lemur",119.415,153,1.484599589,80.85,647.77462,1.1
"278","Eulemur collaris",2419,"Mammalia","Primates","Lemuridae","Eulemur","collaris","Red-collared Lemur",119.415,153,1.484599589,80.85,647.77462,1.1
"279","Eulemur fulvus",2429.75,"Mammalia","Primates","Lemuridae","Eulemur","fulvus","Brown Lemur",119.415,153,1.484599589,80.85,647.77462,1.1
"280","Eulemur macaco",2473.07166666667,"Mammalia","Primates","Lemuridae","Eulemur","macaco","Black Lemur",127.245,152,0.999315537,74.67,604.375,1.04
"281","Eulemur mongoz",1675.18833333333,"Mammalia","Primates","Lemuridae","Eulemur","mongoz","Mongoose Lemur",128.5,154,0.999315537,55.965,796.25506,1.11
"282","Eulemur rufus",2406.81,"Mammalia","Primates","Lemuridae","Eulemur","rufus","Red-fronted Lemur",119.415,153,1.484599589,80.85,647.77462,1.1
"283","Eulemur sanfordi",2406.515,"Mammalia","Primates","Lemuridae","Eulemur","sanfordi","Sanford's Lemur",119.415,153,1.484599589,80.85,647.77462,1.1
"284","Eumetopias jubatus",410266.691111111,"Mammalia","Carnivora","Otariidae","Eumetopias","jubatus","Steller Sea Lion",308.05,351,0.999315537,18625,1803.125,1
"285","Felis bieti",5486.95,"Mammalia","Carnivora","Felidae","Felis","bieti","Chinese Mountain Cat",64.7187,81.505,0.359000684,100.935,307.83232,3.69
"286","Felis catus",4236.54,"Mammalia","Carnivora","Felidae","Felis","catus","Domestic Cat",64,81.505,0.359000684,101.87,304,3.69
"287","Felis chaus",10000,"Mammalia","Carnivora","Felidae","Felis","chaus","Jungle Cat",62.3938,91.308,0.331293634,131,383.18,3
"288","Felis nigripes",1987.5,"Mammalia","Carnivora","Felidae","Felis","nigripes","Black-footed Cat",66.9592,67.23,0.624558522,72,445,1.91
"289","Felis silvestris",4549.135,"Mammalia","Carnivora","Felidae","Felis","silvestris","Wildcat",64.7187,81.505,0.359000684,100.935,307.83232,3.69
"290","Fossa fossana",1798.495,"Mammalia","Carnivora","Eupleridae","Fossa","fossana","Malagasy Civet",88.2644,69.39408,0.999315537,67.5,728,1
"291","Funambulus pennantii",125.07,"Mammalia","Rodentia","Sciuridae","Funambulus","pennantii","Northern Palm Squirrel",40.47988,58.6,0.416372348,6.52,241.98424,3.14
"292","Galago demidoff",65.55,"Mammalia","Primates","Galagidae","Galago","demidoff","Prince Demidoff's Bushbaby",111,45.654,0.999315537,9.89,345.24,1.29
"293","Galago gallarum",192.2,"Mammalia","Primates","Galagidae","Galago","gallarum","Somali Bushbaby",126.49,89.08874,0.607802875,12.2,285.185,1.5
"294","Galago granti",181.85,"Mammalia","Primates","Galagidae","Galago","granti","Grant's Bushbaby",126,89.08874,0.607802875,12.2,324.75212,1.5
